A2_EDAD_1,A3_SEXO_1,ZONA,COD_REGION,POND_USO,grupo_etario,zona_desc,sexo_desc
61.0,2.0,1.0,11.0,0.16529,60+,Urbana,Mujer
75.0,1.0,1.0,11.0,0.34738,60+,Urbana,Hombre
75.0,2.0,1.0,6.0,0.4819,60+,Urbana,Mujer
54.0,1.0,1.0,13.0,4.12944,45-59,Urbana,Hombre
78.0,2.0,1.0,13.0,3.04984,60+,Urbana,Mujer
57.0,1.0,1.0,13.0,3.04984,45-59,Urbana,Hombre
28.0,2.0,1.0,13.0,4.46594,18-29,Urbana,Mujer
64.0,2.0,1.0,6.0,0.4819,60+,Urbana,Mujer
64.0,1.0,1.0,6.0,0.748,60+,Urbana,Hombre
55.0,1.0,1.0,6.0,0.748,45-59,Urbana,Hombre
55.0,2.0,1.0,6.0,1.09532,45-59,Urbana,Mujer
39.0,2.0,1.0,6.0,0.65249,30-44,Urbana,Mujer
54.0,1.0,1.0,13.0,8.91477,45-59,Urbana,Hombre
53.0,1.0,1.0,13.0,6.4097,45-59,Urbana,Hombre
45.0,2.0,1.0,9.0,0.51686,45-59,Urbana,Mujer
64.0,2.0,1.0,9.0,0.59253,60+,Urbana,Mujer
43.0,1.0,1.0,9.0,0.51686,30-44,Urbana,Hombre
34.0,1.0,1.0,9.0,0.86765,30-44,Urbana,Hombre
63.0,1.0,1.0,9.0,0.59253,60+,Urbana,Hombre
60.0,2.0,1.0,9.0,0.55898,60+,Urbana,Mujer
68.0,2.0,1.0,9.0,0.38174,60+,Urbana,Mujer
68.0,1.0,1.0,9.0,0.59253,60+,Urbana,Hombre
34.0,2.0,1.0,9.0,0.55898,30-44,Urbana,Mujer
50.0,1.0,1.0,9.0,0.80227,45-59,Urbana,Hombre
76.0,2.0,1.0,11.0,0.25656,60+,Urbana,Mujer
89.0,2.0,1.0,11.0,0.25656,60+,Urbana,Mujer
78.0,1.0,1.0,11.0,0.16529,60+,Urbana,Hombre
36.0,1.0,1.0,11.0,0.24204,30-44,Urbana,Hombre
48.0,1.0,1.0,11.0,0.24204,45-59,Urbana,Hombre
38.0,1.0,1.0,11.0,0.34738,30-44,Urbana,Hombre
81.0,1.0,2.0,13.0,0.41169,60+,Rural,Hombre
67.0,1.0,2.0,13.0,0.49947,60+,Rural,Hombre
52.0,2.0,1.0,11.0,0.2238,45-59,Urbana,Mujer
65.0,1.0,1.0,11.0,0.16529,60+,Urbana,Hombre
82.0,1.0,1.0,11.0,0.25656,60+,Urbana,Hombre
75.0,1.0,1.0,6.0,1.09532,60+,Urbana,Hombre
34.0,1.0,2.0,3.0,0.91751,30-44,Rural,Hombre
59.0,1.0,1.0,16.0,0.45606,45-59,Urbana,Hombre
35.0,2.0,1.0,16.0,0.29381,30-44,Urbana,Mujer
45.0,1.0,2.0,16.0,0.33944,45-59,Rural,Hombre
32.0,2.0,1.0,5.0,2.05299,30-44,Urbana,Mujer
80.0,1.0,1.0,5.0,1.40201,60+,Urbana,Hombre
54.0,2.0,1.0,3.0,0.52002,45-59,Urbana,Mujer
28.0,1.0,2.0,16.0,0.56981,18-29,Rural,Hombre
34.0,2.0,2.0,16.0,0.3671,30-44,Rural,Mujer
66.0,1.0,2.0,16.0,0.73279,60+,Rural,Hombre
56.0,1.0,2.0,16.0,0.38913,45-59,Rural,Hombre
62.0,1.0,2.0,16.0,0.33944,60+,Rural,Hombre
44.0,1.0,2.0,16.0,0.52688,30-44,Rural,Hombre
76.0,2.0,2.0,3.0,0.62658,60+,Rural,Mujer
59.0,2.0,1.0,5.0,0.90324,45-59,Urbana,Mujer
44.0,2.0,1.0,6.0,1.40861,30-44,Urbana,Mujer
31.0,2.0,1.0,6.0,0.70566,30-44,Urbana,Mujer
43.0,2.0,1.0,11.0,0.2238,30-44,Urbana,Mujer
59.0,2.0,2.0,16.0,0.2507,45-59,Rural,Mujer
63.0,1.0,2.0,16.0,0.52688,60+,Rural,Hombre
61.0,1.0,2.0,16.0,0.3671,60+,Rural,Hombre
62.0,2.0,2.0,16.0,0.2507,60+,Rural,Mujer
43.0,2.0,1.0,6.0,0.65249,30-44,Urbana,Mujer
66.0,2.0,1.0,11.0,0.16529,60+,Urbana,Mujer
34.0,2.0,1.0,15.0,0.86453,30-44,Urbana,Mujer
